#Position (bp)	insert size
80556.0	299.6507936507937
241667.0	299.3354271356784
402778.0	300.85455693538205
563889.0	300.23406152474365
725000.0	300.54997176736305
886111.0	300.3943870014771
1047222.0	301.4427672955975
1208333.0	299.8550724637681
1369444.0	300.3439677301063
1530555.0	300.417316017316
1691666.0	299.33029197080293
1852777.0	300.2723609991942
2013888.0	300.90834575260806
2174999.0	300.3053311793215
2336110.0	300.5656970912738
2497221.0	298.71080508474574
2658332.0	298.81257014590346
2819443.0	298.823720349563
2980554.0	297.26760134105456
3141665.0	294.7347290640394
3302776.0	296.32894540014956
3463887.0	300.7808
3624998.0	299.5968910551969
3786109.0	299.57929592192403
3947220.0	300.0421369450715
4108331.0	300.7381465517241
4269442.0	300.5466926070039
4430553.0	0.0
4591664.0	0.0
4752775.0	299.4469557195572
4913886.0	299.96691176470586
5074997.0	300.59842519685037
5236108.0	301.9774705581157
5397219.0	0.0
5558330.0	299.57568058076225
5719441.0	299.67905405405406
5880552.0	299.250497677505
6041663.0	300.0737929920878
6202774.0	299.0863636363636
6363885.0	0.0
6524996.0	0.0
6686107.0	0.0
6847218.0	301.33409610983983
7008329.0	0.0
7169440.0	300.1898734177215
7330551.0	0.0
7491662.0	0.0
7652773.0	0.0
7813884.0	301.22332859174963
7974995.0	299.9686353019686
8136106.0	300.03125
8297217.0	300.6204379562044
8458328.0	0.0
8619439.0	301.3258807588076
8780550.0	299.9758088902328
8941661.0	300.51362984218076
9102772.0	0.0
9263883.0	298.3473895582329
9424994.0	300.4450065992081
9586105.0	299.4845041322314
9747216.0	0.0
9908327.0	0.0
1.0069438E7	299.27241379310345
1.0230549E7	300.1841851494696
1.039166E7	300.7464258841234
1.0552771E7	300.29838142153415
1.0713882E7	300.9531525184924
1.0874993E7	0.0
1.1036104E7	0.0
1.1197215E7	0.0
1.1358326E7	0.0
1.1519437E7	0.0
1.1680548E7	303.0801886792453
1.1841659E7	301.54182509505705
1.200277E7	298.32211538461536
1.2163881E7	0.0
1.2324992E7	0.0
1.2486103E7	0.0
1.2647214E7	0.0
1.2808325E7	0.0
1.2969436E7	300.1188118811881
1.3130547E7	299.99769319492503
1.3291658E7	300.1759622937942
1.3452769E7	300.26160337552744
1.361388E7	298.22879804759
1.3774991E7	299.4738118331717
1.3936102E7	300.69873079492316
1.4097213E7	301.6811594202899
1.4258324E7	301.7116788321168
1.4419435E7	297.4957983193277
1.4580546E7	0.0
1.4741657E7	299.6751592356688
1.4902768E7	0.0
1.5063879E7	0.0
1.522499E7	305.1521739130435
1.5386101E7	301.9852941176471
1.5547212E7	298.3984375
1.5708323E7	0.0
1.5869434E7	298.76646706586826
1.6030545E7	301.24858757062145
1.6191656E7	0.0
1.6352767E7	299.76283987915406
1.6513878E7	301.0123747790218
1.6674989E7	300.563227953411
1.68361E7	0.0
1.6997211E7	0.0
1.7158322E7	298.85
1.7319433E7	299.72222222222223
1.7480544E7	299.43529411764706
1.7641655E7	298.98507064782723
1.7802766E7	300.5271565495208
1.7963877E7	299.9799437016186
1.8124988E7	300.343984023964
1.8286099E7	299.0496254681648
1.844721E7	300.37109249113763
1.8608321E7	299.9949729311678
1.8769432E7	299.78416347381864
1.8930543E7	0.0
1.9091654E7	0.0
1.9252765E7	301.02547770700636
1.9413876E7	304.09774436090225
1.9574987E7	302.6197411003236
1.9736098E7	300.1675622862726
1.9897209E7	301.0796052631579
2.005832E7	299.2310063862585
2.0219431E7	300.8577036310108
2.0380542E7	300.0342261904762
2.0541653E7	299.96726528756534
2.0702764E7	301.29979466119096
2.0863875E7	0.0
2.1024986E7	0.0
2.1186097E7	298.4810126582278
2.1347208E7	296.0661044613711
2.1508319E7	298.6044386422976
2.166943E7	299.9632653061224
2.1830541E7	0.0
2.1991652E7	0.0
2.2152763E7	0.0
2.2313874E7	0.0
2.2474985E7	0.0
2.2636096E7	301.12629757785464
2.2797207E7	0.0
2.2958318E7	298.69204152249137
2.3119429E7	299.8751210067764
2.328054E7	303.19786096256684
2.3441651E7	293.51141975308644
2.3602762E7	299.1383701188455
2.3763873E7	297.3750905141202
2.3924984E7	299.43261608154023
2.4086095E7	0.0
2.4247206E7	0.0
2.4408317E7	301.27676240208876
2.4569428E7	302.2985842985843
2.4730539E7	299.53287197231833
2.489165E7	297.7413376309428
2.5052761E7	295.2739618699399
2.5213872E7	294.91241039426524
2.5374983E7	296.9826498422713
